id	english
sat-sermon_1-136	Speak to them graciously, lower to them the wing of humility out of mercy, and say: My Lord, have mercy on them as they raised me when I was small.
sat-sermon_1-273	I am her submissive camel. He says: I am her submissive camel.
sat-sermon_1-409	How can he do that to them, when they are the ones who washed away his dirt with their own hands and put him before themselves?
sat-sermon_1-546	And a sheltering sky. If they ask you, give to them; if they ask you to make amends, make amends.
sat-sermon_2-51	And do not disagree. Narrated by al-Bukhari. Ibn Hajar, may Allah have mercy on him, commented on it, saying:
sat-sermon_2-102	Narrated by al-Bukhari. In times of affliction, the believer needs someone to relieve his distress.
sat-sermon_2-154	We awaken determination, and each of us should bring glad tidings to his brothers, rekindling hope in them.
sat-sermon_2-205	He has commanded us to do so, saying in His mighty and knowing words: Indeed, Allah and His angels send blessings upon the Prophet. O you who believe, send blessings upon him and greet him with peace.
sat-sermon_3-22	And that we draw near to Him through obedience that pleases Him, and avoid what angers Him and what He forbids. It is authentically reported that your Prophet, peace and blessings be upon him, said:
sat-sermon_3-44	This world is a place of trials and hardships. The prudent person guards himself and his religion so that he does not fall into tribulations and may escape them. The most deluded of people is the one deceived by this world and its fleeting pleasures.
sat-sermon_3-66	From this example we recognize the contradictions and disparities of our time: knowledge has increased, yet ignorance has spread; wealth has grown, yet poverty has increased; medicine has advanced, yet diseases have become widespread.
sat-sermon_3-88	Indeed, the greatest contradiction in our lives is in the matter of our religion: we know what is good and do as much of it as we choose.
sat-sermon_4-536	What must be emphasized here is the importance of enacting firm regulations to deter those who spread falsehoods and lies.
sat-sermon_5-41	And those who believe in what has been revealed to you and what was revealed before you, and who are certain of the Hereafter. Those are upon guidance from their Lord.
sat-sermon_5-83	And the purest rewards. Through it comes happiness in both abodes. Ibn al-Qayyim, may Allah have mercy on him, said:
sat-sermon_5-125	Praise be to Allah, majestic in His greatness, ever bestowing kindness, and all-encompassing in His generosity.
sat-sermon_5-167	Of Quraysh and Banu Hashim. O Allah, send blessings, peace, and grace upon him, upon his good and pure household, and upon his wives, the Mothers of the Believers.
sat-sermon_6-87	And His most abundant gifts. It is no wonder that he, peace and blessings be upon him, frequently asked Allah for well-being.
sat-sermon_6-174	He used to say: O Allah, I seek refuge in You from the loss of Your blessing and the withdrawal of the well-being You grant.
sat-sermon_6-348	The wise person continues to ask for well-being so that he may manage the greater part of his affairs. A person should
sat-sermon_7-42	From the light of prophethood comes a great hadith that is a fundamental basis for remaining mindful of Allah, Glorified and Exalted, and observing His rights.
